[2025-10-17 16:10:06,028] [WARNING] [runner.py:232:fetch_hostfile] Unable to find hostfile, will proceed with training with local resources only.
Unfreezing MM Vision Tower.....................: False
Unfreezing MM Vision Tower.....................: False
Downloading Model from https://www.modelscope.cn to directory: /home/huangwei/.cache/modelscope/hub/models/facebook/dinov3-convnext-large-pretrain-lvd1689m
Downloading Model from https://www.modelscope.cn to directory: /home/huangwei/.cache/modelscope/hub/models/facebook/dinov3-convnext-large-pretrain-lvd1689m
Downloading Model from https://www.modelscope.cn to directory: /home/huangwei/.cache/modelscope/hub/models/facebook/dinov3-convnext-large-pretrain-lvd1689m
the data path is ........................................ ./data/pretrain/filtered_data_compact.json
Downloading Model from https://www.modelscope.cn to directory: /home/huangwei/.cache/modelscope/hub/models/facebook/dinov3-convnext-large-pretrain-lvd1689m
the data path is ........................................ ./data/pretrain/filtered_data_compact.json
Formatting inputs...Skip in lazy mode
Checkpoint checkpoints-pretrain/bunny-phi-1.5-pretrain/checkpoint-1 missing trainer_state.json, training from scratch.
Formatting inputs...Skip in lazy mode
Checkpoint checkpoints-pretrain/bunny-phi-1.5-pretrain/checkpoint-1 missing trainer_state.json, training from scratch.
{'loss': 6.1242, 'grad_norm': 7.806786060333252, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 5.6541, 'grad_norm': 4.558268070220947, 'learning_rate': 2.1321961620469083e-05, 'epoch': 0.0}
{'loss': 6.3386, 'grad_norm': 11.624165534973145, 'learning_rate': 2.185501066098081e-05, 'epoch': 0.0}
{'loss': 5.9077, 'grad_norm': 12.264786720275879, 'learning_rate': 2.2388059701492536e-05, 'epoch': 0.0}
{'loss': 6.3898, 'grad_norm': 5.6765336990356445, 'learning_rate': 2.2921108742004265e-05, 'epoch': 0.0}
{'loss': 6.0756, 'grad_norm': 7.925313472747803, 'learning_rate': 2.3454157782515995e-05, 'epoch': 0.0}
{'loss': 5.9524, 'grad_norm': 6.061630725860596, 'learning_rate': 2.398720682302772e-05, 'epoch': 0.0}
{'loss': 5.9268, 'grad_norm': 4.698010444641113, 'learning_rate': 2.4520255863539448e-05, 'epoch': 0.0}
{'loss': 5.8721, 'grad_norm': 8.129549026489258, 'learning_rate': 2.5053304904051174e-05, 'epoch': 0.0}
{'loss': 5.9844, 'grad_norm': 5.322237014770508, 'learning_rate': 2.55863539445629e-05, 'epoch': 0.0}
{'loss': 6.0034, 'grad_norm': 3.7951245307922363, 'learning_rate': 2.6119402985074626e-05, 'epoch': 0.0}
{'loss': 5.9276, 'grad_norm': 3.473580837249756, 'learning_rate': 2.6652452025586353e-05, 'epoch': 0.0}
{'loss': 6.1868, 'grad_norm': 3.1868298053741455, 'learning_rate': 2.7185501066098082e-05, 'epoch': 0.0}
{'loss': 6.1303, 'grad_norm': 12.360551834106445, 'learning_rate': 2.771855010660981e-05, 'epoch': 0.0}
{'loss': 5.7822, 'grad_norm': 2.507781982421875, 'learning_rate': 2.8251599147121535e-05, 'epoch': 0.0}
{'loss': 6.1618, 'grad_norm': 3.6180050373077393, 'learning_rate': 2.8784648187633265e-05, 'epoch': 0.0}
{'loss': 5.8677, 'grad_norm': 3.4746854305267334, 'learning_rate': 2.931769722814499e-05, 'epoch': 0.0}
{'loss': 5.5077, 'grad_norm': 2.3824379444122314, 'learning_rate': 2.9850746268656717e-05, 'epoch': 0.0}
{'loss': 6.3187, 'grad_norm': 4.913169860839844, 'learning_rate': 3.0383795309168444e-05, 'epoch': 0.0}
{'loss': 5.1543, 'grad_norm': 5.181835174560547, 'learning_rate': 3.091684434968017e-05, 'epoch': 0.0}
{'loss': 6.0564, 'grad_norm': 7.190962791442871, 'learning_rate': 3.14498933901919e-05, 'epoch': 0.0}
{'loss': 5.76, 'grad_norm': 2.015033483505249, 'learning_rate': 3.1982942430703626e-05, 'epoch': 0.0}
{'loss': 5.7297, 'grad_norm': 4.475440502166748, 'learning_rate': 3.251599147121535e-05, 'epoch': 0.0}
{'loss': 5.6294, 'grad_norm': 2.4580368995666504, 'learning_rate': 3.304904051172708e-05, 'epoch': 0.0}
{'loss': 5.4376, 'grad_norm': 2.3693389892578125, 'learning_rate': 3.3582089552238805e-05, 'epoch': 0.0}
{'loss': 5.6526, 'grad_norm': 3.0605363845825195, 'learning_rate': 3.411513859275053e-05, 'epoch': 0.0}
{'loss': 6.07, 'grad_norm': 3.1081042289733887, 'learning_rate': 3.464818763326226e-05, 'epoch': 0.0}
{'loss': 6.0095, 'grad_norm': 4.172080039978027, 'learning_rate': 3.5181236673773984e-05, 'epoch': 0.0}
{'loss': 5.8268, 'grad_norm': 2.1904163360595703, 'learning_rate': 3.571428571428571e-05, 'epoch': 0.0}
{'loss': 5.8491, 'grad_norm': 2.574380397796631, 'learning_rate': 3.6247334754797436e-05, 'epoch': 0.0}
{'loss': 5.7953, 'grad_norm': 2.6065640449523926, 'learning_rate': 3.678038379530917e-05, 'epoch': 0.0}
{'loss': 5.533, 'grad_norm': 2.00893235206604, 'learning_rate': 3.7313432835820896e-05, 'epoch': 0.0}
{'loss': 5.5021, 'grad_norm': 1.832509994506836, 'learning_rate': 3.784648187633263e-05, 'epoch': 0.0}
{'loss': 5.8738, 'grad_norm': 2.297196626663208, 'learning_rate': 3.8379530916844355e-05, 'epoch': 0.0}
{'loss': 5.6726, 'grad_norm': 7.5375542640686035, 'learning_rate': 3.891257995735608e-05, 'epoch': 0.0}
{'loss': 6.0693, 'grad_norm': 3.324843168258667, 'learning_rate': 3.944562899786781e-05, 'epoch': 0.0}
{'loss': 5.8308, 'grad_norm': 2.4537014961242676, 'learning_rate': 3.9978678038379534e-05, 'epoch': 0.0}
{'loss': 5.768, 'grad_norm': 2.5851340293884277, 'learning_rate': 4.051172707889126e-05, 'epoch': 0.0}
{'loss': 5.6674, 'grad_norm': 1.4514527320861816, 'learning_rate': 4.104477611940299e-05, 'epoch': 0.0}
{'loss': 5.7245, 'grad_norm': 2.3623130321502686, 'learning_rate': 4.157782515991471e-05, 'epoch': 0.0}
{'loss': 5.625, 'grad_norm': 18.23689842224121, 'learning_rate': 4.211087420042644e-05, 'epoch': 0.0}
{'loss': 5.5112, 'grad_norm': 2.847911834716797, 'learning_rate': 4.2643923240938166e-05, 'epoch': 0.0}
{'loss': 5.6942, 'grad_norm': 5.536227226257324, 'learning_rate': 4.317697228144989e-05, 'epoch': 0.0}
{'loss': 5.5887, 'grad_norm': 4.776949405670166, 'learning_rate': 4.371002132196162e-05, 'epoch': 0.0}
{'loss': 5.6357, 'grad_norm': 9.891236305236816, 'learning_rate': 4.4243070362473345e-05, 'epoch': 0.0}
{'loss': 5.6721, 'grad_norm': 4.094350814819336, 'learning_rate': 4.477611940298507e-05, 'epoch': 0.0}
{'loss': 5.5503, 'grad_norm': 2.9311437606811523, 'learning_rate': 4.53091684434968e-05, 'epoch': 0.0}
{'loss': 5.3805, 'grad_norm': 6.31928014755249, 'learning_rate': 4.584221748400853e-05, 'epoch': 0.0}
{'loss': 5.6853, 'grad_norm': 1.8196862936019897, 'learning_rate': 4.637526652452026e-05, 'epoch': 0.0}
{'loss': 5.4793, 'grad_norm': 2.2507596015930176, 'learning_rate': 4.690831556503199e-05, 'epoch': 0.0}
{'loss': 5.6765, 'grad_norm': 3.2022480964660645, 'learning_rate': 4.7441364605543716e-05, 'epoch': 0.0}
{'loss': 5.4637, 'grad_norm': 3.776780605316162, 'learning_rate': 4.797441364605544e-05, 'epoch': 0.0}
{'loss': 5.8333, 'grad_norm': 2.3447654247283936, 'learning_rate': 4.850746268656717e-05, 'epoch': 0.0}
{'loss': 5.5867, 'grad_norm': 2.1468722820281982, 'learning_rate': 4.9040511727078895e-05, 'epoch': 0.0}
{'loss': 5.0607, 'grad_norm': 2.1605381965637207, 'learning_rate': 4.957356076759062e-05, 'epoch': 0.0}
{'loss': 5.5219, 'grad_norm': 1.9457212686538696, 'learning_rate': 5.010660980810235e-05, 'epoch': 0.0}
{'loss': 5.6584, 'grad_norm': 1.9517335891723633, 'learning_rate': 5.0639658848614074e-05, 'epoch': 0.0}
{'loss': 5.8965, 'grad_norm': 2.1048851013183594, 'learning_rate': 5.11727078891258e-05, 'epoch': 0.0}
{'loss': 5.5052, 'grad_norm': 1.5049809217453003, 'learning_rate': 5.1705756929637527e-05, 'epoch': 0.0}
{'loss': 5.326, 'grad_norm': 1.791770100593567, 'learning_rate': 5.223880597014925e-05, 'epoch': 0.0}
{'loss': 5.6156, 'grad_norm': 1.6671421527862549, 'learning_rate': 5.277185501066098e-05, 'epoch': 0.0}
